link,judul,tanggal,portal
https://jakartaglobe.id/lifestyle/balis-ngaben-ceremony-sets-an-example-of-new-habits-adaptation,Bali's Ngaben Ceremony Sets an Example of New Habits Adaptation,2021-10-11,Jakarta Globe
https://www.topsumbar.co.id/2021/10/wako-padang-keluarkan-surat-edaran-percepatan-vaksinasi-dan-peduli-lindungi-pencegahan-pandemi-covid-19/,Wako Padang Keluarkan Surat Edaran Percepatan Vaksinasi dan Peduli Lindungi Pencegahan Pandemi COVID-19,2021-10-11,Top Sumbar
https://www.kompasiana.com/tianhombing6637/6163c3d46e7f0104e86582f2/se-belum-terlambat-peduli-lindungi-bumi-dengan-dukung-usaha-net-zero-emissions?page=all&page_images=5,"(Se)belum Terlambat Peduli Lindungi Bumi dengan Dukung Usaha ""Net-Zero Emissions"" - Kompasiana.com",2021-10-11,Kompasiana.com
https://news.detik.com/berita-jawa-timur/d-5760776/lapas-rutan-di-jatim-wajib-pedulilindungi-saat-layanan-kunjungan-dibuka,Lapas/Rutan di Jatim Wajib PeduliLindungi Saat Layanan Kunjungan Dibuka,2021-10-10,detikNews
https://kaltimedia.com/2021/10/09/bioskop-balikpapan-sudah-mulai-buka-wajib-scan-qr-code-peduli-lindungi/,"Bioskop Balikpapan Sudah Mulai Buka, Wajib Scan QR Code Peduli Lindungi -",2021-10-09,kaltimedia.com
https://jatim.antaranews.com/berita/533645/kemenkumham-jatim-wajibkan-aplikasi-pedulilindungi-saat-pengunjung-masuk-lapas,Kemenkumham Jatim wajibkan aplikasi PeduliLindungi saat pengunjung masuk lapas,2021-10-09,Antara Jatim News
https://www.datariau.com/detail/berita/hati-hati---situs-palsu-peduli-lindungi-kembali-beredar,"Hati-hati!, Situs Palsu Peduli Lindungi Kembali Beredar",2021-10-08,DataRiau.com
https://radarkudus.jawapos.com/grobogan/691638183/rumah-makan-pasar-hingga-caf%C3%A9-wajib-pakai-aplikasi-peduli-lindungi,"Rumah Makan, Pasar hingga Café Wajib Pakai Aplikasi Peduli Lindungi - Radar Kudus",2021-10-08,Radar Kudus
https://inilahjogja.com/masuk-ke-polres-sleman-masyarakat-wajib-pindai-qr-code-peduli-lindungi/,"Masuk ke Polres Sleman, Masyarakat Wajib Pindai QR Code Peduli Lindungi",2021-10-08,Inilah Jogja
https://beritajatim.com/semua-pusat-perbelanjaan-kota-kediri-buka-dan-gunakan-aplikasi-peduli-lindungi,Semua Pusat Perbelanjaan Kota Kediri Buka dan Gunakan Aplikasi Peduli Lindungi,2021-10-08,beritajatim.com
